,Unnamed: 0,month,trip_id,vehicle_id,started_at,ended_at,duration,start_location_name,end_location_name,user_id,trip_ledger_id
4,4,May,1636714,8926493,2019-05-24 13:38:00,5/24/2019 13:41,0:03:06,"401 2nd St NW, Albuquerque, NM 87102, USA","401 2nd St NW, Albuquerque, NM 87102, USA",35436274,1511212
5,5,May,1636780,3902020,2019-05-24 13:52:00,5/24/2019 14:13,0:21:27,"520 Central Ave SW, Albuquerque, NM 87102, USA","3217 Pershing Ave SE, Albuquerque, NM 87106, USA",34352757,1511371
6,6,May,1636856,5192526,2019-05-24 14:04:00,5/24/2019 14:34,0:30:43,"330 Tijeras Ave NW, Albuquerque, NM 87102, USA","809 Copper Ave NW, Albuquerque, NM 87102, USA",35466666,1511483
7,7,May,1636912,3902020,2019-05-24 14:14:00,5/24/2019 14:15,0:01:05,"3217 Pershing Ave SE, Albuquerque, NM 87106, USA","802 Wellesley Dr SE, Albuquerque, NM 87106, USA",34352757,1511390
8,8,May,1637035,5192526,2019-05-24 14:37:00,5/24/2019 14:43,0:05:33,"809 Copper Ave NW, Albuquerque, NM 87102, USA","809 Copper Ave NW, Albuquerque, NM 87102, USA",35466666,1511516
9,9,May,1637036,9885684,2019-05-24 14:38:00,5/24/2019 15:09,0:31:54,"2901 Central Ave NE, Albuquerque, NM 87106, USA","2000 Zearing Ave NW, Albuquerque, NM 87104, USA",34352757,1511666
10,10,May,1637075,5192526,2019-05-24 14:45:00,5/24/2019 14:48,0:03:34,"809 Copper Ave NW, Albuquerque, NM 87102, USA","809 Copper Ave NW, Albuquerque, NM 87102, USA",35466666,1511544
11,11,May,1637120,5192526,2019-05-24 14:52:00,5/24/2019 14:58,0:05:40,"809 Copper Ave NW, Albuquerque, NM 87102, USA","809 Copper Ave NW, Albuquerque, NM 87102, USA",35466666,1511610
12,12,May,1637212,3203954,2019-05-24 15:05:00,5/24/2019 15:21,0:16:37,"423 Central Ave NE, Albuquerque, NM 87102, USA","512 Central Ave SE, Albuquerque, NM 87102, USA",35490582,1511765
13,13,May,1637299,3027855,2019-05-24 15:16:00,5/24/2019 15:36,0:20:12,"1898 Mountain Rd NW, Albuquerque, NM 87104, USA","824 Stover Ave SW, Albuquerque, NM 87102, USA",34352757,1511876
14,14,May,1637378,4335950,2019-05-24 15:27:00,5/24/2019 15:31,0:03:51,"400 Marquette Ave NW, Albuquerque, NM 87102, USA","5th @ Marquette, Albuquerque, NM 87102, USA",35493806,1511834
15,15,May,1637409,4011047,2019-05-24 15:31:00,5/24/2019 15:33,0:02:03,"101 State Hwy 313, Albuquerque, NM 87102, USA","400 Gold Ave SW, Albuquerque, NM 87102, USA",31624602,1511854
16,16,May,1637414,7044335,2019-05-24 15:32:00,5/24/2019 15:33,0:01:10,"400 Marquette Ave NW, Albuquerque, NM 87102, USA","5th @ Marquette, Albuquerque, NM 87102, USA",35493806,1511847
17,17,May,1637455,7939544,2019-05-24 15:36:00,5/24/2019 15:55,0:19:03,"401 3rd St NW, Albuquerque, NM 87102, USA","220 Gold Ave SW, Albuquerque, NM 87102, USA",35495918,1512023
18,18,May,1637468,8926493,2019-05-24 15:38:00,5/24/2019 15:52,0:14:20,"401 2nd St NW, Albuquerque, NM 87102, USA","224 Gold Ave SW, Albuquerque, NM 87102, USA",35492487,1511996
19,19,May,1637528,6893735,2019-05-24 15:45:00,5/24/2019 15:49,0:04:03,"301 Central Ave NE, Albuquerque, NM 87102, USA","411 Central Ave NE, Albuquerque, NM 87102, USA",35498655,1511970
20,20,May,1637626,8636158,2019-05-24 15:54:00,5/24/2019 16:06,0:11:42,"401 3rd St NW, Albuquerque, NM 87102, USA","401 3rd St NW, Albuquerque, NM 87102, USA",35466666,1512127
21,21,May,1637682,3972385,2019-05-24 15:59:00,5/24/2019 15:59,0:00:33,"401 3rd St NW, Albuquerque, NM 87102, USA","401 3rd St NW, Albuquerque, NM 87102, USA",35275216,1512061
22,22,May,1637789,6893735,2019-05-24 16:08:00,5/24/2019 16:13,0:04:54,"400 Central Ave SE, Albuquerque, NM 87102, USA","411 Central Ave NE, Albuquerque, NM 87102, USA",35498655,1512205
23,23,May,1637820,8479151,2019-05-24 16:11:00,5/24/2019 16:42,0:30:49,"401 2nd St NW, Albuquerque, NM 87102, USA","401 3rd St NW, Albuquerque, NM 87102, USA",35503988,1512517
24,24,May,1637898,3972385,2019-05-24 16:19:00,5/24/2019 16:36,0:16:26,"401 3rd St NW, Albuquerque, NM 87102, USA","505 Central Ave NW, Albuquerque, NM 87102, USA",35505542,1512436
25,25,May,1637907,1449819,2019-05-24 16:20:00,5/24/2019 16:25,0:04:34,"330 Tijeras Ave NW, Albuquerque, NM 87102, USA","330 Tijeras Ave NW, Albuquerque, NM 87102, USA",35506612,1512317
26,26,May,1637915,8926493,2019-05-24 16:21:00,5/24/2019 16:24,0:03:34,"225 Gold Ave SW, Albuquerque, NM 87102, USA","201 3rd St NW, Albuquerque, NM 87102, USA",35492487,1512311
27,27,May,1637919,7939544,2019-05-24 16:21:00,5/24/2019 16:24,0:03:35,"220 Gold Ave SW, Albuquerque, NM 87102, USA","99999 Tijeras Ave NW, Albuquerque, NM 87102, USA",35495918,1512315
28,28,May,1637920,6893735,2019-05-24 16:21:00,5/24/2019 16:24,0:02:36,"Central @ Edith, Albuquerque, NM 87102, USA","400 Central Ave SE, Albuquerque, NM 87102, USA",35498655,1512301
29,29,May,1637980,2503724,2019-05-24 16:25:00,5/24/2019 16:29,0:03:24,"500-676 Locust St NE, Albuquerque, NM 87102, USA","875 10th St SW, Albuquerque, NM 87102, USA",35506940,1512355
30,30,May,1638006,1485187,2019-05-24 16:27:00,5/24/2019 16:36,0:08:49,"401 3rd St NW, Albuquerque, NM 87102, USA","401 3rd St NW, Albuquerque, NM 87102, USA",35507698,1512438
31,31,May,1638021,2693271,2019-05-24 16:28:00,5/24/2019 16:32,0:03:58,"401 3rd St NW, Albuquerque, NM 87102, USA","401 3rd St NW, Albuquerque, NM 87102, USA",35507209,1512392
32,32,May,1638033,2484319,2019-05-24 16:29:00,5/24/2019 16:31,0:01:08,"401 3rd St NW, Albuquerque, NM 87102, USA","401 3rd St NW, Albuquerque, NM 87102, USA",35507184,1512379
33,33,May,1638053,2502068,2019-05-24 16:31:00,5/24/2019 16:38,0:07:30,"401 3rd St NW, Albuquerque, NM 87102, USA","401 3rd St NW, Albuquerque, NM 87102, USA",35508347,1512468
34,34,May,1638062,9505672,2019-05-24 16:32:00,5/24/2019 16:36,0:04:46,"401 3rd St NW, Albuquerque, NM 87102, USA","401 3rd St NW, Albuquerque, NM 87102, USA",35507184,1512441
35,35,May,1638097,5518132,2019-05-24 16:36:00,5/24/2019 16:40,0:03:45,"328 Marquette Ave NW, Albuquerque, NM 87102, USA","401 3rd St NW, Albuquerque, NM 87102, USA",35507566,1512486
36,36,May,1638301,4049935,2019-05-24 16:52:00,5/24/2019 17:17,0:24:29,"Albuquerque Convention Center, Albuquerque, NM 87102, USA","401 2nd St NW, Albuquerque, NM 87102, USA",35512732,1512968
37,37,May,1638306,5947761,2019-05-24 16:53:00,5/24/2019 17:17,0:24:06,"401 2nd St NW, Albuquerque, NM 87102, USA","401 2nd St NW, Albuquerque, NM 87102, USA",35512965,1512969
38,38,May,1638330,2693271,2019-05-24 16:55:00,5/24/2019 17:04,0:09:15,"401 3rd St NW, Albuquerque, NM 87102, USA","401 3rd St NW, Albuquerque, NM 87102, USA",35507716,1512803
39,39,May,1638348,9505672,2019-05-24 16:56:00,5/24/2019 17:14,0:18:11,"401 3rd St NW, Albuquerque, NM 87102, USA","Albuquerque Convention Center, Albuquerque, NM 87102, USA",35505229,1512932
40,40,May,1638385,8763917,2019-05-24 16:58:00,5/24/2019 17:04,0:06:13,"401 3rd St NW, Albuquerque, NM 87102, USA","115 2nd St SW, Albuquerque, NM 87102, USA",35513516,1512812
41,41,May,1638389,3786248,2019-05-24 16:58:00,5/24/2019 17:05,0:06:49,"401 3rd St NW, Albuquerque, NM 87102, USA","101 2nd St SW, Albuquerque, NM 87102, USA",35513504,1512821
42,42,May,1638471,9139821,2019-05-24 17:04:00,5/24/2019 17:48,0:43:52,"401 3rd St NW, Albuquerque, NM 87102, USA","401 3rd St NW, Albuquerque, NM 87102, USA",35500603,1513351
43,43,May,1638626,2937338,2019-05-24 17:15:00,5/24/2019 17:28,0:12:58,"101 State Hwy 313, Albuquerque, NM 87102, USA","KRQE-TV Albuquerque, NM, USA, 13 Broadcast Plaza SW, Albuquerque, NM 87104, USA",35512392,1513097
44,44,May,1638722,4641993,2019-05-24 17:22:00,5/24/2019 17:26,0:03:37,"219 Central Ave SW, Albuquerque, NM 87102, USA","219 Central Ave SW, Albuquerque, NM 87102, USA",35518187,1513073
45,45,May,1638783,1221572,2019-05-24 17:27:00,5/24/2019 17:30,0:02:43,"219 Central Ave SW, Albuquerque, NM 87102, USA","311 Central Ave NW, Albuquerque, NM 87102, USA",35518788,1513113
46,46,May,1638786,4641993,2019-05-24 17:27:00,5/24/2019 17:30,0:02:45,"219 Central Ave NW, Albuquerque, NM 87102, USA","300 Central Ave SW, Albuquerque, NM 87102, USA",35518187,1513124
47,47,May,1638901,4437884,2019-05-24 17:35:00,5/24/2019 18:02,0:27:20,"401 2nd St NW, Albuquerque, NM 87102, USA","Broadway @ Martin Luther King, Albuquerque, NM 87102, USA",35466627,1513570
48,48,May,1638906,1322681,2019-05-24 17:35:00,5/24/2019 18:02,0:27:07,"2nd @ Marquette, Albuquerque, NM 87102, USA","Broadway @ Martin Luther King, Albuquerque, NM 87102, USA",35521064,1513573
49,49,May,1638907,6754027,2019-05-24 17:35:00,5/24/2019 19:01,1:25:45,"330 Tijeras Ave NW, Albuquerque, NM 87102, USA","301 Copper Ave NW, Albuquerque, NM 87102, USA",6813327,1514427
50,50,May,1638956,3203954,2019-05-24 17:39:00,5/24/2019 17:41,0:01:45,"512 Central Ave SE, Albuquerque, NM 87102, USA","512 Central Ave SE, Albuquerque, NM 87102, USA",35490582,1513255
51,51,May,1639023,1449819,2019-05-24 17:44:00,5/24/2019 18:31,0:47:20,"330 Tijeras Ave NW, Albuquerque, NM 87102, USA","330 Tijeras Ave NW, Albuquerque, NM 87102, USA",35480324,1513936
52,52,May,1639024,8343821,2019-05-24 17:44:00,5/24/2019 18:06,0:22:00,"330 Tijeras Ave NW, Albuquerque, NM 87102, USA","1224 Central Ave SW, Albuquerque, NM 87102, USA",35519604,1513623
